threshold,cost_per_1000,recall,false_alarms,missed_fraud
0.001,1635.891383653792,1.0,26780,0
0.006015075376884422,491.9520619073101,0.999781181619256,8051,1
0.011030150753768845,765.7880133998929,0.9978118161925602,5145,10
0.016045226130653265,1457.5622164068056,0.9932166301969365,3815,31
0.02106030150753769,3009.2359568681777,0.9849015317286652,3008,69
0.02607537688442211,6087.834355918163,0.9724288840262582,2380,126
0.031090452261306533,10557.684999890045,0.9575492341356674,1896,194
0.03610552763819096,17052.8409043706,0.9380743982494529,1564,283
0.04112060301507538,23931.69848041695,0.9207877461706784,1306,362
0.0461356783919598,29686.05638999455,0.9074398249452954,1121,423
0.05115075376884422,34533.266761472616,0.8969365426695842,982,471
0.056165829145728645,41394.94089288638,0.8853391684901531,868,524
0.061180904522613065,45278.97623009503,0.8789934354485777,764,553
0.06619597989949749,51020.70155183662,0.8711159737417943,679,589
0.07121105527638191,58098.389105134425,0.863019693654267,614,626
0.07622613065326633,63980.907632612274,0.8551422319474836,556,662
0.08124120603015075,67010.28433233885,0.8509846827133479,489,681
0.08625628140703517,72790.5746144843,0.8444201312910284,444,711
0.0912713567839196,77470.24936653496,0.8391684901531729,417,735
0.09628643216080401,82219.86107751365,0.8339168490153173,375,759
0.10130150753768843,85721.25097432664,0.8295404814004377,347,779
0.10631658291457287,90535.30706866347,0.82582056892779,319,796
0.11133165829145729,91380.38326772665,0.825164113785558,298,799
0.11634673366834171,92860.31646373794,0.8240700218818381,286,804
0.12136180904522613,98058.56789254674,0.8205689277899344,273,820
0.12637688442211056,101235.3027437527,0.8181619256017505,256,831
0.13139195979899498,104170.32811900589,0.8164113785557987,244,839
0.1364070351758794,107903.63487979436,0.8140043763676149,237,850
0.14142211055276382,110324.94839428525,0.812472647702407,227,857
0.14643718592964824,112703.02134111329,0.8107221006564551,222,865
0.15145226130653267,116583.3369740774,0.8085339168490153,206,875
0.15646733668341709,120069.05432283382,0.8063457330415755,196,885
0.1614824120603015,124540.90911090098,0.8037199124726477,187,897
0.16649748743718593,127547.84555914743,0.8019693654266958,176,905
0.17151256281407035,130415.98116831233,0.8004376367614879,169,912
0.17652763819095477,133866.06358596188,0.7984682713347921,164,921
0.1815427135678392,135060.92659380293,0.7978118161925601,158,924
0.1865577889447236,137363.14925584657,0.7967177242888402,153,929
0.19157286432160803,140590.8700523143,0.7938730853391684,150,942
0.19658793969849245,144041.73128376546,0.7919037199124727,143,951
0.20160301507537687,148115.2187012073,0.7897155361050329,136,961
0.20661809045226132,152124.92024571358,0.787527352297593,131,971
0.21163316582914574,158030.13445096847,0.7842450765864333,126,986
0.21664824120603016,161086.3338684494,0.7827133479212254,116,993
0.22166331658291458,163855.05327947965,0.7814004376367615,116,999
0.226678391959799,170233.33374872024,0.7776805251641138,108,1016
0.23169346733668342,176126.9240110737,0.774835886214442,103,1029
0.23670854271356784,177543.8683516714,0.7739606126914661,102,1033
0.24172361809045226,179014.37329111047,0.7730853391684902,97,1037
0.24673869346733668,182199.43557471223,0.7715536105032823,95,1044
